timestamp,n_qubits,n_train,n_test,maxiter,train_seconds,accuracy,balanced_accuracy,kappa,precision,recall,f1,tn,fp,fn,tp,explained_variance_sum
2026-02-06T00:19:15,2,700,300,40,30.40608290000091,0.5033333333333333,0.5042735042735043,0.008517434122970458,0.4840764331210191,0.5277777777777778,0.5049833887043189,75,81,68,76,0.14317426085472107
2026-02-06T00:20:33,4,700,300,40,77.04175699999905,0.53,0.5288461538461539,0.057738572574177915,0.5106382978723404,0.5,0.5052631578947369,87,69,72,72,0.2802555561065674
2026-02-06T00:23:37,8,700,300,40,182.89140400000178,0.5666666666666667,0.5662393162393162,0.13240790176187933,0.547945205479452,0.5555555555555556,0.5517241379310345,90,66,64,80,0.44595950841903687
2026-02-19T13:41:05,2,pauli_x,700,300,40,29.69292359999963,0.4766666666666667,0.47596153846153844,-0.04806408544726293,0.45517241379310347,0.4583333333333333,0.45674740484429066,77,79,78,66,0.14317426085472107
2026-02-19T13:41:35,2,pauli_y,700,300,40,29.677637000000686,0.5133333333333333,0.5162927350427351,0.03234358430540829,0.4941860465116279,0.5902777777777778,0.5379746835443038,69,87,59,85,0.14317426085472107
2026-02-19T13:42:02,2,z_feature_map,700,300,40,26.759041199999047,0.4266666666666667,0.42601495726495725,-0.1478910838227443,0.4041095890410959,0.4097222222222222,0.4068965517241379,69,87,85,59,0.14317426085472107
2026-02-19T13:42:31,2,zz_feature_map_linear,700,300,40,29.063392100000783,0.45666666666666667,0.4569978632478633,-0.08579802824407134,0.43790849673202614,0.4652777777777778,0.4511784511784512,70,86,77,67,0.14317426085472107
2026-02-19T13:43:47,4,pauli_x,700,300,40,74.56033829999978,0.48,0.47996794871794873,-0.040000000000000036,0.46,0.4791666666666667,0.46938775510204084,75,81,75,69,0.2802555561065674
2026-02-19T13:45:02,4,pauli_y,700,300,40,74.26752990000023,0.56,0.5592948717948718,0.1185897435897435,0.5416666666666666,0.5416666666666666,0.5416666666666666,90,66,66,78,0.2802555561065674
2026-02-19T13:46:12,4,z_feature_map,700,300,40,69.32870800000092,0.5166666666666667,0.514690170940171,0.029451137884872858,0.4962962962962963,0.4652777777777778,0.48028673835125446,88,68,77,67,0.2802555561065674
2026-02-19T13:47:28,4,zz_feature_map_linear,700,300,40,75.39034750000064,0.5766666666666667,0.5774572649572649,0.15446071904127823,0.5548387096774193,0.5972222222222222,0.5752508361204013,87,69,58,86,0.2802555561065674
2026-02-19T13:50:25,8,pauli_x,700,300,40,175.4000135999995,0.5366666666666666,0.5373931623931625,0.07456724367509981,0.5161290322580645,0.5555555555555556,0.5351170568561873,81,75,64,80,0.44595950841903687
2026-02-19T13:53:23,8,pauli_y,700,300,40,176.0246819999993,0.5133333333333333,0.5112179487179487,0.0224959828602036,0.4925373134328358,0.4583333333333333,0.4748201438848921,88,68,78,66,0.44595950841903687
2026-02-19T13:56:08,8,z_feature_map,700,300,40,163.1960170000002,0.54,0.5400641025641025,0.07999999999999996,0.52,0.5416666666666666,0.5306122448979592,84,72,66,78,0.44595950841903687
2026-02-19T13:59:12,8,zz_feature_map_linear,700,300,40,182.3075058000013,0.5533333333333333,0.5547542735042735,0.10904255319148937,0.53125,0.5902777777777778,0.5592105263157895,81,75,59,85,0.44595950841903687
